term,estimate,std.error,statistic,p.value,dependent,Dependent_Variable,Window,Horizon,Retail_Flag
Item_4.02,-0.00013490669479815427,9.094230236244164e-05,-1.4834317066275369,0.1379597501292337,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_5.01,0.000646429820281712,0.00010400486505951076,6.215380596973325,5.12004933105502e-10,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_5.02,-2.543894896038978e-05,8.574821991917728e-06,-2.9667028638457427,0.0030101174445585,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_5.03,1.6971525893868753e-05,2.0600343062016772e-05,0.8238467603561958,0.4100266353997809,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_5.04,-5.384831294005724e-05,0.0001726651523917282,-0.3118655512948594,0.7551427041022472,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_5.05,0.00011184785562072382,8.892260257647556e-05,1.2578113143340806,0.2084600042998854,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_5.06,0.0004686390098817262,0.0001545249795206664,3.0327718620991613,0.0024231874848898,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_5.07,-2.9406587581641345e-05,1.075760772444007e-05,-2.733561990258568,0.0062653333748028,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_5.08,0.0002492152674295741,0.00011832535250151556,2.106186562396948,0.0351881511565344,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_7.01,8.54046579765366e-05,1.2775408245257358e-05,6.685082491061807,2.307951907795988e-11,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_8.01,0.00031031470126580124,1.057401160799753e-05,29.346922697824382,2.618023972081393e-189,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_9.01,8.715605504632613e-05,9.81373664033019e-06,8.881026487724629,6.624669267649481e-19,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_1.01,4.9235420889908245e-05,2.0001763929972744e-06,24.6155394405634,8.616242075565705e-134,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_1.02,-4.152230224770529e-06,4.537202013283704e-06,-0.9151521604314552,0.3601117562820153,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_1.03,0.0002480950881430699,6.752476490499409e-05,3.674134793244144,0.0002386567873997862,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_1.04,1.941833380527064e-05,2.5647041078944374e-05,0.7571373923993376,0.448967554926988,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_1.05,-5.4029240717483314e-05,6.744951527206644e-05,-0.8010323054146394,0.4231129447878025,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_2.01,6.134404020420977e-06,4.420192851046997e-06,1.387813660430662,0.1651937955453069,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_2.02,6.829949722681055e-05,2.214656400304441e-06,30.8397714505156,7.690579961715089e-209,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_2.03,-4.082836426724204e-05,2.624504914824384e-06,-15.556596612422052,1.4354117918231534e-54,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_2.04,-1.5170221162035716e-05,1.7979187668057362e-05,-0.843765660724918,0.3988003688906918,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_2.05,5.431101903973633e-05,8.399848352874155e-06,6.465714231751918,1.0082167939561435e-10,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_2.06,4.66491340051569e-06,1.4843654776047216e-05,0.3142698662086461,0.7533160832382542,lag_vol_4per,Total Volume,2 hours,Pre,Retail
