term,estimate,std.error,statistic,p.value,dependent,Dependent_Variable,Window,Horizon,Retail_Flag
Item_5.01,0.00011487679967876624,0.00017003888935804298,0.6755913315622493,0.4993001474231788,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_5.02,2.565707851457631e-05,1.3296453925229167e-05,1.9296181266716268,0.0536541725147164,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_5.03,0.0002152908422079432,3.424960823423548e-05,6.285935907224222,3.2588502663525425e-10,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_5.04,-5.1116245072766215e-05,0.00014095209233720664,-0.3626497785536826,0.7168665204699679,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_5.05,-8.590481013737737e-05,0.0001902631015656588,-0.4515053598436798,0.6516253633984845,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_5.06,0.000780717949377172,0.0007288964906032121,1.0710957720911432,0.2841263703031429,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_5.07,-1.3155204647838064e-05,2.0187331131925263e-05,-0.6516564553218113,0.5146228200698117,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_5.08,4.4446085013972906e-05,0.00013037144188346328,0.3409188728134377,0.7331646569302884,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_7.01,3.234688515406686e-05,8.73745957686575e-06,3.702092681459952,0.00021382852922467724,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_8.01,0.00018438661793480815,9.557816402854691e-06,19.291709545679943,6.306407997972132e-83,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_9.01,8.08557264631226e-05,9.162229007291506e-06,8.824896910869159,1.0956150898640312e-18,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_1.01,2.454573556988049e-05,2.906845644659093e-06,8.444113850688879,3.063624360566292e-17,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_1.02,2.138423249108101e-05,6.77663068930317e-06,3.1555847546533364,0.0016017674437352,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_1.03,0.001440137086841,0.00016412818510867748,8.774465433146084,1.7171886915509897e-18,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_1.04,-9.784217065091332e-05,7.319668524952934e-05,-1.3367022060816949,0.1813198630146528,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_1.05,,,,,lag_vol_4per,Total Volume,2 hours,Pre,Retail
